Price,Address,Bedrooms,Baths,Area
550000,"12 Saint Martin's Drive, Kimmage, Kimmage, Dublin 6W",3,2,108
550000,"102 Iveragh Road, Whitehall, Whitehall, Dublin 9",3,2,175
250000,"9 Church Avenue, Glasnevin, Glasnevin, Dublin 11",2,1,52
345000,"28 Temple View Copse, Clarehall, Clarehall, Dublin 13",3,3,110
325000,"11 Reilly's Avenue, Cork Street, Dolphin's Barn, Dublin 8",2,1,73
605000,"16 Robin Villas, Palmerstown, Dublin 20",4,4,130
245000,"5 Waterville Terrace, Waterville, Blanchardstown, Dublin 15",2,1,60
900000,"128 Lower Drumcondra Road, Drumcondra, Dublin 9",4,3,174
620000,"64 Manor Street, Dublin 7",5,2,145
1200000,"30 Charleston Avenue, Ranelagh, Dublin 6",4,1,165
390000,"66 Glentow Road, Whitehall, Dublin 9",3,2,
375000,"Apartment 172, The Oak, Rathfarnham, Dublin 14",2,2,66
2500000,"Galtee Lodge, 16 Asgard Road, Howth, Dublin 13",6,4,366
270000,"45 Pimlico, Dublin 8",2,2,67
675000,"76 Taney Road, Dundrum, Dundrum, Dublin 14",4,2,158
1750000,"9 Iona Drive, Glasnevin, Dublin 9",6,8,230
450000,"61 Church Avenue, Drumcondra, Dublin 9",2,1,94
485000,"28 Claremont Drive, Glasnevin, Dublin 11",3,2,121
349950,"8 Southern Cross Avenue, Inchicore, Inchicore, Dublin 8",3,1,81
395000,"Apartment 10, Temple Hill, Terenure, Dublin 6",2,2,75
,,,,
825000,,,,
595000,"Mews 2, Rear 93 Booterstown Avenue, Booterstown, Co. Dublin",2,2,85
1400000,"Cullenswood Lodge, 12 Richmond Avenue South, Dartry, Dublin 6",3,3,170
550000,"14 Verbena Park, Sutton, Dublin 13",4,1,132
795000,"28 Saint Kevin's Road, South Circular Road, Portobello, Dublin 8",2,2,123
275000,"75 Fernwood Avenue, Springfield, Tallaght, Dublin 24",3,1,82
695000,"39 Leinster Street North, Phibsborough, Dublin 7",4,2,126
470000,"18 Muckross Green, Perrystown, Dublin 12",3,1,98
845000,"Apartment 28, House 1, Linden Square, Blackrock, Co. Dublin",2,2,130
555000,,,,
540000,"Apartment 21, Block 5, Galley Quay, Dublin 2",3,2,82
285000,"2 Blakes Court, Clonsilla, Dublin 15",3,1,84
450000,"15 Rowan Hall, Milltown, Dublin 6",2,2,88
495000,"496 Collins Avenue, Whitehall, Dublin 9",4,2,132
370000,"32 Knockmaree, Chapelizod, Chapelizod, Dublin 20",3,2,
395000,"3 Allen Terrace, Phibsborough, Dublin 7",3,1,72
295000,"48 Willow Wood Grove, Hartstown, Hartstown, Dublin 15",3,2,90
385000,"149 Millrace Road, Castleknock, Dublin 15",2,2,
285000,"Apartment 12, Dorset Square, Dublin 1",2,1,62
1450000,"ATLANTIC PROJECTS COMPANY LIMITED, 3 Marine Road, Dun Laoghaire, Co. Dublin",5,5,250
465000,"45 Cairnbrook Avenue, Carrickmines, Dublin 18",2,2,118
345000,"34 Castletimon Avenue, Coolock, Kilmore, Dublin 5",3,2,
450000,"16 Faulkners Terrace, Kilmainham, Dublin 8",2,2,70
550000,"Apartment 37, Forbes Quay Apartments, Grand Canal Dock, Dublin 2",2,2,74
1395000,"Laurel House, 122, Ranelagh, Dublin 6",5,3,254
4750000,"Tresillian House, Brighton Road, Foxrock, Dublin 18",5,4,414
34,,,,
430000,"46 Saint Brigid's Park, Foxrock, Foxrock, Dublin 18",3,1,84
950000,"Coil Coille, 80 Slieve Rua Drive, Stillorgan, Co. Dublin",,,038
895000,"3 Merton Walk, Mount St Annes, Milltown, Dublin 6",4,3,158
525000,"23 Fontenoy Street, Phibsborough, Dublin 7",2,1,71
750000,"132 Botanic Avenue, Glasnevin, Dublin 9",3,2,127
325000,"43 Rosehaven, Castleknock, Dublin 15",3,2,121
375000,"51 Hazelbury Green, Clonee, Dublin 15",3,3,100
395000,"Apartment 17, Chamberlain Court, 11/13 Richmond Avenue, Dublin 3",3,3,104
3000000,"11 Raglan Road, Ballsbridge, Dublin 4",5,4,341
590000,"12 Auburn Drive, Castleknock, Castleknock, Dublin 15",3,3,108
350000,"12 Hogan Square, Hogan Place, Dublin 2",2,1,62
750000,"90 Castleknock Park, Castleknock, Dublin 15",4,3,132
325000,"Apartment 2, 1 Palace Street, Dublin 2",2,1,48
1095000,"40 Charleville Square, Rathfarnham, Rathfarnham, Dublin 14",5,4,227
675000,"2 Orchardstown House, Washington Lane, Rathfarnham, Dublin 14",3,2,124
300000,"Apartment 26, The Schooner, Alverno, Clontarf, Dublin 3",1,1,
325000,"17 Bluebell Avenue, Bluebell, Dublin 12",2,2,71
1100000,"2 Feldberg Upper Glenageary Road Glenageary, Glenageary, Co. Dublin",4,4,176
575000,"17 The Walk, Woodpark, Ballinteer, Dublin 16",3,1,100
850000,"17 The Rise Barnhill Road Dalkey, Dalkey, Co. Dublin",4,2,120
640000,"22 The Avenue, Carrickmines Green, Carrickmines, Dublin 18",4,4,150
350000,"10 James Street North, North Strand, Dublin 3",3,3,105
260000,"10 Linnetfields Square, Clonee, Dublin 15",2,,79
250000,"20 Thornberry Square, Clonee, Dublin 15",2,1,65
280000,"Apartment 61, Block A, The Waterside, Dublin 4",1,1,33
315000,"Apartment 158, Temple Gardens, Northwood, Santry, Dublin 9",3,2,117
795000,"111 Botanic Road, Glasnevin, Dublin 9",5,1,163
575000,"9 White's Villas, Dalkey, Co. Dublin",2,1,80
489500,"Apartment 36, The Sycamore, Trimbleston, Goatstown, Dublin 14",2,2,87
3250000,"Azalea, 139 Stillorgan Road Donnybrook Dublin 4, Donnybrook, Dublin 4",5,6,372
295000,"2 Northbrook Terrace, North Strand, North Strand, Dublin 3",3,1,78
335000,"Apartment 8, Alexandra Quay, York Road, Ringsend, Dublin 4",2,1,72
545000,"Bella Vista, 35 Cedarwood Road, Glasnevin, Dublin 11",4,2,170
1375000,"12a Carrickbrack Road, Sutton, Dublin 13",5,2,186
,,,,
275000,"64 Belcamp Avenue, Darndale, Dublin 17",4,1,90
290000,"Apartment 196, Temple Court, Northwood, Santry, Dublin 9",2,2,69
259000,"16 Woodford Meadows, Clondalkin, Clondalkin, Dublin 22",2,1,
265000,"Apartment 147, Block B, The Timber Mill, Artane, Dublin 5",2,1,54
1150000,"155 Vernon Avenue, Clontarf, Clontarf, Dublin 3",4,2,221
995000,"5 Longwood Avenue, South Circular Road, Portobello, Dublin 8",3,3,152
550000,"Apartment 59, Block 3, Seamount, Stillorgan, Co. Dublin",3,2,98
595000,"Apartment 152, Bushy Park House, Templeogue, Dublin 6W",3,2,100
585000,"5 Court View, Rathborne Avenue, Ashtown, Dublin 15",5,3,147
745000,"5 Donard Terrace, Annamoe Road, Dublin 7",4,2,141
725000,"2 Vernon Drive, Clontarf, Clontarf, Dublin 3",3,2,100
395000,"1 Summer Street North, North Circular Road, Dublin 1",4,1,89
265000,"13 Ashwood Drive, Clondalkin, Clondalkin, Dublin 22",3,2,102
465000,"18 Gallery Quay, Grand Canal Quay, Dublin 2",3,2,88
585000,"1 Marian Drive, Rathfarnham, Dublin 14",3,1,108
595000,"1 Brookvale, Brookvale Road, Dublin 4",2,2,70
260000,"Apartment 84, Whatley Hall, Clonee, Dublin 15",2,2,84
345000,"58 Bantry Square, Blanchardstown, Dublin 15",2,3,
595000,"30 Clonliffe Road (plus Attic Conversion), Drumcondra, Dublin 3",3,3,147
360000,"Apartment 61, The Dickens, The Gasworks, Ringsend, Dublin 4",1,1,51
350000,"Daletree View, Ballycullen, Firhouse, Dublin 24",2,1,
500000,"34 Hollystown Park, Hollystown, Hollystown, Dublin 15",4,3,195
220000,"10 Fernleigh Crescent, Castleknock, Castleknock, Dublin 15",1,1,44
750000,"81 The Elms, Mount Merrion Avenue, Blackrock, Co. Dublin",3,2,110
775000,"29 Carysfort Woods, Blackrock, Co. Dublin",4,2,134
290000,"Apartment 2, Block B1, The Bottle Works, Ringsend, Dublin 4",1,1,46
950000,"9 Brehons Chair, Kellystown Road, Rathfarnham, Dublin 14",4,2,192
245000,"11 Windmill Court, Clonsilla, Dublin 15",2,2,62
495000,"47 Eden Villas, Glasthule, Co. Dublin",2,2,69
260000,"Apartment 13, Madison House, Rathgar, Dublin 6",1,1,46
,,,,
780000,"588 Howth Road, Raheny, Raheny, Dublin 5",4,3,182
549000,"8 Castelmoyne, Balgriffin, Dublin 13",5,4,174
395000,"69 Kirkpatrick House, Spencer Dock, IFSC, Co. Dublin",2,2,68
1250000,"6 Glaunsharoon, Eglinton Road, Donnybrook, Dublin 4",3,4,170
,,,,
295000,"3 Northbrook Terrace, North Strand, North Strand, Dublin 3",3,1,78
375000,"2 Latchford Park, Clonee, Dublin 15",3,3,
,"113 Phibsborough Road, Phibsborough, Dublin 7",,,49
1695000,"77 Ranelagh Road, Ranelagh, Dublin 6",3,2,228
635000,"11 Ramleh Hall, Mount St Annes, Milltown, Dublin 6",2,2,104
525000,"35 Merrion Strand, Sandymount, Dublin 4",2,1,62
425000,"39 South Dock Street, Ringsend, Dublin 4",2,1,57
275000,"11 Kearns Place, Kilmainham, Dublin 8",2,1,59
285000,"21 Belfry Grove, Citywest, Citywest, Co. Dublin",3,2,
295000,"Site to rear of 176 Botanic Road, Glasnevin, Dublin 9",,,004
